"","","Total Count","Wins","Losses","Winrate","As Radiant","As Dire","Kills","Deaths","Assists","GPM","XPM","Last Hits","Denies","Overall","In Wins","In Losses","Shift"
"Team VGJ","Team VGJ","4","0","4","0.00%","2","2","17.00","28.25","45.50","1800","1967","938","49","40:19","-","40:19","-"
"Unknown Team","Unknown Team","4","1","3","25.00%","0","4","17.25","18.25","40.75","1987","2113","734","34","31:07","39:56","28:11","11:44"
"iG.Vitality","iG.Vitality","4","3","1","75.00%","2","2","27.50","34.00","78.50","1912","2143","867","36","44:11","48:31","31:11","17:20"
"Team Singularity","Team Singularity","4","1","3","25.00%","3","1","27.00","40.00","65.00","1803","2076","909","31","44:40","1:06:10","37:30","28:39"
"LUCCINI GAMING..","LUCCINI GAMING..","4","2","2","50.00%","1","3","30.50","31.25","74.00","2030","2315","1214","70","49:33","40:59","58:07","-17:08"
"BlackSoul","BlackSoul","4","1","3","25.00%","2","2","34.75","30.25","96.00","2105","2385","1340","35","50:52","36:04","55:49","-19:45"
"Unknown Team","Unknown Team","4","2","2","50.00%","2","2","24.75","29.25","51.75","2064","2304","776","46","36:48","35:39","37:56","-02:17"
"Not Today !","Not Today !","3","1","2","33.33%","0","3","18.67","31.67","44.67","1840","2105","886","54","40:21","57:38","31:43","25:55"
"WarriorsGaming.Unity","WarriorsGaming.Unity","3","0","3","0.00%","2","1","24.00","33.67","61.00","1816","2056","1001","33","45:18","-","45:18","-"
"Fear of God","Fear of God","2","2","0","100.00%","2","0","20.50","7.50","48.00","2262","2196","594","52","26:30","26:30","-","-"
"is GG","is GG","2","2","0","100.00%","1","1","25.00","8.00","57.50","2211","2310","614","36","26:00","26:00","-","-"
"DoZe eSports","DoZe eSports","2","0","2","0.00%","1","1","16.00","26.50","28.50","1539","1702","502","32","28:20","-","28:20","-"
"Elite Wolves","Elite Wolves","2","2","0","100.00%","1","1","30.00","6.00","58.00","2280","2716","719","44","29:26","29:26","-","-"
"Midas Club Elite","Midas Club Elite","2","0","2","0.00%","2","0","18.00","27.50","36.50","1864","2222","997","28","43:30","-","43:30","-"
"Los Magikarps","Los Magikarps","1","0","1","0.00%","1","0","21.00","38.00","36.00","1746","2109","648","55","33:25","-","33:25","-"
"Zeus Gaming","Zeus Gaming","1","0","1","0.00%","1","0","29.00","32.00","55.00","1942","2250","1039","41","48:34","-","48:34","-"
"San German Rejects","San German Rejects","1","0","1","0.00%","1","0","38.00","31.00","91.00","2024","2382","1804","64","1:09:15","-","1:09:15","-"
